,FileHeader: Filename,Date,Time,Row,Type,Identifier 1,Identifier 2,Amount,Sample Dilution,Peak Nr.,Component,Rt,Amt%,Ampl. 28,Ampl. 29,Area 28,Area 29,d 15N/14N,Ampl. 44,Ampl. 45,Ampl. 46,Area 44,Area 45,Area 46,Area All,d 13C/12C,Peak Nr. Flash TCD,Rt Flash TCD,rArea Flash TCD,Amt% Flash TCD,Element Type,Datetime,Seconds Since Start,d 15N/14N_corr,d 15N/14N_se,d 13C/12C_corr,d 13C/12C_se,d15N(AIR) value,VPDB_d15N/14N,VPDB_d15N/14N_diff,VPDB_d15N/14N_se,d13C(VPDB) value,VPDB_d13C/12C,VPDB_d13C/12C_diff,VPDB_d13C/12C_se,sum_squared_error
181,22741_d15N-d13C_SORGHUM-0000.dxf,11/21/2024,15:13:11,22,Sample,SORGHUM,SAMPLE,0.00187,89.0,4.0,CO2,271.5,33.9919363,,,,,,9100.0,10707.0,13059.0,252.731,2.959,1.088,256.777,-14.448,,,,,Carbon,2024-11-21 15:13:11,14289.0,,,-14.54525612136593,0.08118391375514374,,,,,-13.78,-13.813904815864936,8.328995184135062,0.03292706055254252,0.08760718674420163
180,22741_d15N-d13C_SORGHUM-0000.dxf,11/21/2024,15:13:11,22,Sample,SORGHUM,SAMPLE,0.00187,0.0,3.0,N2,159.5,1.6820939,1676.0,1235.0,43.03,0.317,1.248,,,,,,,43.347,,,,,,Nitrogen,2024-11-21 15:13:11,14289.0,0.8922595864260108,0.20748346064613463,,,1.58,1.2494848897294726,-0.5327151102705276,0.19002445623546446,,,,,0.2813515246258318
189,22742_d15N-d13C_WHEAT FLOUR-0000.dxf,11/21/2024,15:22:27,23,Sample,WHEAT FLOUR,SAMPLE,0.0019,89.0,4.0,CO2,271.3,31.048594,,,,,,9072.0,10542.0,13020.0,250.334,2.893,1.078,254.305,-27.346,,,,,Carbon,2024-11-21 15:22:27,14845.0,,,-27.441650366315557,0.08058390039707627,,,,,-26.871,-26.900496080458574,-4.757596080458576,0.028408118404419747,0.08544463818453117
188,22742_d15N-d13C_WHEAT FLOUR-0000.dxf,11/21/2024,15:22:27,23,Sample,WHEAT FLOUR,SAMPLE,0.0019,0.0,3.0,N2,159.0,2.0034996,2067.0,1527.0,52.671,0.389,4.765,,,,,,,53.06,,,,,,Nitrogen,2024-11-21 15:22:27,14845.0,4.414187807032898,0.20608082840569175,,,4.631,4.592645839619199,2.8104458396191987,0.32076364159352794,,,,,0.3812592577298516
197,22743_d15N-d13C_BL SEDIMENT-0000.dxf,11/21/2024,15:31:43,24,Sample,BL SEDIMENT,SAMPLE,0.0092,89.0,4.0,CO2,271.7,7.0365146,,,,,,9109.0,10568.0,13073.0,253.381,2.925,1.091,257.396,-28.632,,,,,Carbon,2024-11-21 15:31:43,15401.0,,,-28.726044611265188,0.07998948716914003,,,,,-28.012,-28.203832671059047,-6.060932671059049,0.031186648483000016,0.08585409193034556
196,22743_d15N-d13C_BL SEDIMENT-0000.dxf,11/21/2024,15:31:43,24,Sample,BL SEDIMENT,SAMPLE,0.0092,0.0,3.0,N2,158.6,0.7560045,4070.0,3002.0,102.28,0.754,3.286,,,,,,,103.035,,,,,,Nitrogen,2024-11-21 15:31:43,15401.0,2.940116027639786,0.20468835177938638,,,3.035,3.19339551379844,1.4111955137984398,0.23487796080371343,,,,,0.31155252819624585
205,22744_d15N-d13C_MJS-24-006_Swamp Milkweed; leaf (F1)-0000.dxf,11/21/2024,16:15:22,25,Sample,MJS-24-006_Swamp Milkweed; leaf (F1),SAMPLE,0.00265,89.0,4.0,CO2,264.4,177.3810301,,,,,,13094.0,15195.0,18790.0,367.265,4.232,1.581,373.078,-31.201,,,,,Carbon,2024-11-21 16:15:22,18020.0,,,-31.28748081184625,0.07726871628668057,,,,,,-30.803045130810347,-8.66014513081035,0.03751422811983407,0.08589395687717782
204,22744_d15N-d13C_MJS-24-006_Swamp Milkweed; leaf (F1)-0000.dxf,11/21/2024,16:15:22,25,Sample,MJS-24-006_Swamp Milkweed; leaf (F1),SAMPLE,0.00265,0.0,3.0,N2,157.2,4.4712176,8199.0,6076.0,198.36,1.469,8.519,,,,,,,199.829,,,,,,Nitrogen,2024-11-21 16:15:22,18020.0,8.1963300739877,0.19827216523152683,,,,8.182812799816892,6.400612799816892,0.5962707211582516,,,,,0.6283714064279018
213,22745_d15N-d13C_MJS-24-006_Northern Pondweed; leaf (F2)-0000.dxf,11/21/2024,16:24:39,26,Sample,MJS-24-006_Northern Pondweed; leaf (F2),SAMPLE,0.00264,89.0,4.0,CO2,264.6,170.8117494,,,,,,12903.0,15075.0,18509.0,363.514,4.217,1.564,369.296,-24.11,,,,,Carbon,2024-11-21 16:24:39,18577.0,,,-24.194872168747224,0.07670776664625562,,,,,,-23.60583414694874,-1.4629341469487436,0.023334244729939987,0.08017835394277646
212,22745_d15N-d13C_MJS-24-006_Northern Pondweed; leaf (F2)-0000.dxf,11/21/2024,16:24:39,26,Sample,MJS-24-006_Northern Pondweed; leaf (F2),SAMPLE,0.00264,0.0,3.0,N2,157.0,4.4978778,8154.0,6085.0,198.953,1.484,15.58,,,,,,,200.436,,,,,,Nitrogen,2024-11-21 16:24:39,18577.0,15.262267158300714,0.19693942263414643,,,,14.890094565650944,13.107894565650945,1.1530801211388202,,,,,1.1697772873299375
